Id,Name,Product Group,Stock Method,Post Rent Unavailability,Replacement Charge,Weight,Description,Active,Accessory Only,Tags,Tests & Inspections,Rental Price,Discountable,mainsPowerReq,powerType,Replacement Charge Date,Testable?,prefPwrCbl,isCable,connector1,connector2
112,Void Stasys 2,Audio - DIs,Serialised,0,1100,29,"2 way 12"" speaker

The flagship Stasys point source series meets the most stringent requirements for shows, events, and performances of every imaginable genre. Featuring advanced pattern control, ultra-low distortion, and superb acoustic coupling among adjacent units, Stasys loudspeakers are especially effective in large, reverberant spaces because they effortlessly direct the sound where it's needed. They are perfectly suited for use in houses of worship, concert halls, theatres, clubs, outdoor performance venues, sports facilities and more, whether permanently installed or used for touring and other temporary events such as large AV presentations.",No,No,,,35,Yes,,,,,,,,
24,Yamaha DXR15,Audio - DIs,Serialised,0,751,22.5,"15"" 2-way, Bi-amp powered speaker (1100 watts)

Bass-reflex type
ABS cabinet",No,No,"Speaker top,active speaker",,30,Yes,,,,,,,,
122,Nexo DTD-TU DSP,Audio - DSP,Serialised,0,818,1.3,,Yes,No,"DSP,Nexo",,15,Yes,,,,Yes,,,,
33,Nexo PS15 TD controller,Audio - DSP,Bulk,0,652,3.3,to be used with ps15 and ls1200,No,No,DSP,,15,Yes,,,,,,,,
129,DI,Audio - Headphones,Bulk,0,50,0,,No,No,,,5,Yes,,,,,,,,
37,Presonus Studio live 16.0.2,Audio - Headphones,Serialised,0,820,9.07,"16 channel digital mixer (8 mono input channels, 4 stereo channels)",No,No,Desk,,42,Yes,,,,,,,,
66,RETIRED - Alto ZMX52 mixer,Audio - Headphones,Serialised,0,50,0.74,Compact 5 Channel analogue mixer,No,No,Mixer,,10,Yes,,,,,,,,
468,Sennheiser HD 25 Headphones,Audio - Headphones,Serialised,0,170,0.16,,Yes,No,"hd 25,hd,sennheiser hd",,10,Yes,,,,No,,,,
166,Soundcraft Si Expression 2,Audio - Headphones,Serialised,0,2500,0,24 Channel digital mixer,No,No,,,80,Yes,,,,,,,,
38,Yamaha MW12,Audio - Headphones,Serialised,0,100,1.8,"12 channel analogue mixer
Built-in 16-bit/44.1kHz USB interface",No,No,Desk,,25,Yes,,,,,,,,
932,NOT IN USE1 - was AC41 Combiner,Audio - IEMS,Serialised,0,0,0,,Yes,No,,,0,Yes,,,,No,,,,
896,Sennheiser EK 500 G4 Receiver,Audio - IEMS,Serialised,0,0,0.18,Sennheiser EK 500 G4 Receiver,Yes,No,,,0,Yes,,,,No,,,,
433,Sennheiser EK IEM G4 Bodypack Receiver,Audio - IEMS,Serialised,0,280,0.16,,Yes,No,"iem,g4",,20,Yes,,,,No,,,,
431,Sennheiser G4 Wireless IEM Monitor Package (single set),Audio - IEMS,None,0,0,7.1,,Yes,No,,,40,Yes,,,,No,,,,
435,Sennheiser IE4 in-ear Earphones,Audio - IEMS,Bulk,0,50,0.01,,Yes,No,iem,,0,Yes,,,,No,,,,
931,"Sennheiser IEM G4, 4 way rack",Audio - IEMS,None,0,0,0,,Yes,No,,,160,Yes,,,,No,,,,
432,Sennheiser SR IEM G4 Transmitter,Audio - IEMS,Serialised,0,500,1,,Yes,No,iem,,20,Yes,,,,No,,,,
724,AKG H85 shock mount mic clip,Audio - Microphone Stands and Accessories,Serialised,0,0,0.15,,Yes,No,,,0,Yes,,,,No,,,,
513,AT8471 microphone clip,Audio - Microphone Stands and Accessories,Bulk,0,0,0.01,Suitable for ATM450,Yes,Yes,"AT8471 mic clip,mic clip",,0,Yes,,,,No,,,,
849,DPA accessory carry case,Audio - Microphone Stands and Accessories,Serialised,0,0,0.34,DPA accessory carry case,Yes,No,,,0,Yes,,,,No,,,,
847,DPA bass mic clip (BC4099),Audio - Microphone Stands and Accessories,Serialised,0,0,0.02,DPA bass mic clip,Yes,No,,,0,Yes,,,,No,,,,
846,DPA cello mic clip (CC4099),Audio - Microphone Stands and Accessories,Serialised,0,0,0.01,DPA cello mic clip,Yes,No,,,0,Yes,,,,No,,,,
841,DPA clip for sax/trumpet (STC4099),Audio - Microphone Stands and Accessories,Serialised,0,37,0.01,DPA Clip for sax/trumpet,Yes,No,,,2,Yes,,,,No,,,,
845,DPA mic clip for piano (PC4099),Audio - Microphone Stands and Accessories,Serialised,0,0,0.01,DPA mic clip for piano,Yes,No,,,0,Yes,,,,No,,,,
843,DPA microdot adapter for Sennheiser Evolution TX (DAD6034),Audio - Microphone Stands and Accessories,Serialised,0,0,0.01,"An adapter that connects the DPA headset microphones, the DPA lavalier microphones as well as the DPA instrument microphones to Sennheiser Evolution, X2 Digital Wireless, Audio Ltd. En2 TX wireless systems.

The adapter comes with an original DPA MicroDot to Mini-Jack Connector (with thread).",Yes,No,,,0,Yes,,,,No,,,,
856,DPA Microphone Clip for Guitar (GC4099),Audio - Microphone Stands and Accessories,Serialised,0,0,0.03,Instrument Microphone Clip for Guitar (GC4099),Yes,No,,,0,Yes,,,,No,,,,
855,DPA Microphone Clip for Violin and Mandolin (VC4099),Audio - Microphone Stands and Accessories,Serialised,0,37,0.02,"Clip to connect a 4099 Instrument Microphone to a violin, viola, banjo or mandolin.",Yes,No,,,0,Yes,,,,No,,,,
842,DPA Mic stand mount (MS4099),Audio - Microphone Stands and Accessories,Serialised,0,0,0.03,DPA Mic stand mount,Yes,No,,,1,Yes,,,,No,,,,
848,DPA universal mic clip (UC4099),Audio - Microphone Stands and Accessories,Serialised,0,0,0.02,DPA universal mic clip,Yes,No,,,0,Yes,,,,No,,,,
520,K&M Base for Gooseneck Microphone,Audio - Microphone Stands and Accessories,Serialised,0,0,2.4,,Yes,No,,,0,Yes,,,,,,,,
355,K&M Microphone Stereo Bar,Audio - Microphone Stands and Accessories,Bulk,0,0,0.06,,Yes,No,,,0,Yes,,,,,,,,
372,Microphone bar,Audio - Microphone Stands and Accessories,Bulk,0,40,0,"Adaptor for Batwings. 

Allows two Batwings to be used with one mic stand.",Yes,No,,,0,Yes,,,,,,,,
310,Microphone clip,Audio - Microphone Stands and Accessories,Bulk,0,20,0.99,,Yes,No,"mic clip,microphone clip,clip,shure mic clip",,2,Yes,,,,,,,,
462,Rode NT5 Clip,Audio - Microphone Stands and Accessories,Bulk,0,0,0.07,,Yes,Yes,"rode mic clip,rode clip",,0,Yes,,,,No,,,,
293,Round Base Microphone Stand,Audio - Microphone Stands and Accessories,Serialised,0,100,5.4,,Yes,No,"round base mic stand,mic stand,round base stand",,5,Yes,,,,,,,,
903,Sennheiser CA2 Hot Shoe Mount,Audio - Microphone Stands and Accessories,Bulk,0,0,0.02,Sennheiser CA2 adapter plate for camera,Yes,No,,,0,Yes,,,,No,,,,
901,Sennheiser CL 1 3.5 mm jack cable,Audio - Microphone Stands and Accessories,Serialised,0,0,0.02,Sennheiser CL 1 3.5 mm jack cable,Yes,No,,,0,Yes,,,,No,,,,
899,Sennheiser CL 500 XLR to 3.5 mm jack adapter cable,Audio - Microphone Stands and Accessories,Serialised,0,0,0.05,,Yes,No,,,0,Yes,,,,No,,,,
904,Sennheiser EK 500 mic windshield accessories,Audio - Microphone Stands and Accessories,Bulk,0,0,0,"2 x A-Frame cable clips
1 x spring cable clip
4 x small cylinder windshields 
1 x dome windshield",Yes,No,,,0,Yes,,,,,,,,
902,Sennheiser fur windscreen for MKE 2,Audio - Microphone Stands and Accessories,Bulk,0,0,0.01,Sennheiser fur windscreen for MKE 2,Yes,No,,,0,Yes,,,,No,,,,
533,Sennheiser HSP Windshield beige,Audio - Microphone Stands and Accessories,Bulk,0,15,0.01,,Yes,Yes,sennheiser windshield,,0,Yes,,,,No,,,,
535,Sennheiser HSP Windshield Black,Audio - Microphone Stands and Accessories,Bulk,0,15,0,,Yes,Yes,,,0,Yes,,,,,,,,
164,Sennheiser Microphone clip,Audio - Microphone Stands and Accessories,Bulk,0,20,0.99,,Yes,No,"sennheiser clip,sennheiser mic clip",,2,Yes,,,,,,,,
439,Sennheiser MZA 900 P phantom powering adapter,Audio - Microphone Stands and Accessories,Serialised,0,0,0.06,Phantom power adaptor to connect pre-polarized condenser microphones with a 3.5mm jack plug to microphone inputs. Lockable 3.5mm jack socket. Robust chassis. Ideal if using both wired and wireless applications.,Yes,No,sennheiser adapter,,0,Yes,,,,No,,,,
536,Sennheiser NT UK power supply,Audio - Microphone Stands and Accessories,Serialised,0,20,0.07,,Yes,No,,,0,Yes,,,,,,,,
905,Sennheiser POP-1 Pouch,Audio - Microphone Stands and Accessories,Bulk,0,0,0.04,Sennheiser POP-1 Pouch,Yes,No,,,0,Yes,,,,No,,,,
194,Short boom mic stand,Audio - Microphone Stands and Accessories,Bulk,0,75,0,,No,No,,,5,Yes,,,,,,,,
